2026-05-11 13:04:10.254 [main] INFO  n.e.j.JournalApplication ------ Starting JournalApplication using Java 23.0.1 with PID 59028 (/Users/adarshkatigi/Desktop/Projects/journalApplication/target/classes started by adarshkatigi in /Users/adarshkatigi/Desktop/Projects/journalApplication)
2026-05-11 13:04:10.255 [main] DEBUG n.e.j.JournalApplication ------ Running with Spring Boot v3.5.9, Spring v6.2.15
2026-05-11 13:04:10.255 [main] INFO  n.e.j.JournalApplication ------ The following 1 profile is active: "dev"
2026-05-11 13:04:10.590 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2026-05-11 13:04:10.613 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Finished Spring Data repository scanning in 21 ms. Found 2 MongoDB repository interfaces.
2026-05-11 13:04:10.819 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat initialized with port 8080 (http)
2026-05-11 13:04:10.825 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Initializing ProtocolHandler ["http-nio-8080"]
2026-05-11 13:04:10.826 [main] INFO  o.a.catalina.core.StandardService ------ Starting service [Tomcat]
2026-05-11 13:04:10.826 [main] INFO  o.a.catalina.core.StandardEngine ------ Starting Servlet engine: [Apache Tomcat/10.1.50]
2026-05-11 13:04:10.846 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring embedded WebApplicationContext
2026-05-11 13:04:10.846 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ------ Root WebApplicationContext: initialization completed in 570 ms
2026-05-11 13:04:11.000 [main] INFO  org.mongodb.driver.client ------ MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.1.1"}, "platform": "Java/Oracle Corporation/23.0.1+11-39"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='katigiadarsh_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@47df5041, com.mongodb.Jep395RecordCodecProvider@2a0ea492, com.mongodb.KotlinCodecProvider@7e52a26b]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.r6k3wae.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-14b5f5-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2026-05-11 13:04:11.032 [cluster-ClusterId{value='6a021a1a99bde25d3fa44d20', description='Cluster0'}-srv-cluster0.r6k3wae.mongodb.net] INFO  org.mongodb.driver.cluster ------ Adding discovered server ac-corjj3v-shard-00-01.r6k3wae.mongodb.net:27017 to client view of cluster
2026-05-11 13:04:11.061 [cluster-ClusterId{value='6a021a1a99bde25d3fa44d20', description='Cluster0'}-srv-cluster0.r6k3wae.mongodb.net] INFO  org.mongodb.driver.cluster ------ Adding discovered server ac-corjj3v-shard-00-00.r6k3wae.mongodb.net:27017 to client view of cluster
2026-05-11 13:04:11.062 [cluster-ClusterId{value='6a021a1a99bde25d3fa44d20', description='Cluster0'}-srv-cluster0.r6k3wae.mongodb.net] INFO  org.mongodb.driver.cluster ------ Adding discovered server ac-corjj3v-shard-00-02.r6k3wae.mongodb.net:27017 to client view of cluster
2026-05-11 13:04:11.143 [main] INFO  org.mongodb.driver.cluster ------ Waiting for server to become available for operation with ID 5. Remaining time: 29997 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-corjj3v-shard-00-02.r6k3wae.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-corjj3v-shard-00-01.r6k3wae.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-corjj3v-shard-00-00.r6k3wae.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
2026-05-11 13:04:11.593 [cluster-ClusterId{value='6a021a1a99bde25d3fa44d20', description='Cluster0'}-ac-corjj3v-shard-00-00.r6k3wae.mongodb.net:27017] INFO  org.mongodb.driver.cluster ------ Monitor thread successfully connected to server with description ServerDescription{address=ac-corjj3v-shard-00-00.r6k3wae.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=245387084, minRoundTripTimeNanos=0, setName='atlas-14b5f5-shard-0', canonicalAddress=ac-corjj3v-shard-00-00.r6k3wae.mongodb.net:27017, hosts=[ac-corjj3v-shard-00-00.r6k3wae.mongodb.net:27017, ac-corjj3v-shard-00-02.r6k3wae.mongodb.net:27017, ac-corjj3v-shard-00-01.r6k3wae.mongodb.net:27017], passives=[], arbiters=[], primary='ac-corjj3v-shard-00-02.r6k3wae.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='use1-az4'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=122, topologyVersion=TopologyVersion{processId=69fe426b1d931070d4587d1b, counter=4}, lastWriteDate=Mon May 11 13:04:11 CDT 2026, lastUpdateTimeNanos=2677603954534708}
2026-05-11 13:04:11.593 [cluster-ClusterId{value='6a021a1a99bde25d3fa44d20', description='Cluster0'}-ac-corjj3v-shard-00-01.r6k3wae.mongodb.net:27017] INFO  org.mongodb.driver.cluster ------ Monitor thread successfully connected to server with description ServerDescription{address=ac-corjj3v-shard-00-01.r6k3wae.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=241526000, minRoundTripTimeNanos=0, setName='atlas-14b5f5-shard-0', canonicalAddress=ac-corjj3v-shard-00-01.r6k3wae.mongodb.net:27017, hosts=[ac-corjj3v-shard-00-00.r6k3wae.mongodb.net:27017, ac-corjj3v-shard-00-02.r6k3wae.mongodb.net:27017, ac-corjj3v-shard-00-01.r6k3wae.mongodb.net:27017], passives=[], arbiters=[], primary='ac-corjj3v-shard-00-02.r6k3wae.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='use1-az6'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=122, topologyVersion=TopologyVersion{processId=69fe47cef120b1b2a8316392, counter=3}, lastWriteDate=Mon May 11 13:04:11 CDT 2026, lastUpdateTimeNanos=2677603954534625}
